,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
40,0.088,29.0,2016-05-20,2016-04-21,0.0,50etf_1609_c_2.05,1.0,0.0,10000.0,0.1696,33920.0,-16330.304000000004,20.0
41,0.0671,29.0,2016-05-20,2016-04-21,0.0,50etf_1609_c_2.1,1.0,0.0,10000.0,0.1427,34248.0,-18154.070399999997,24.0
42,0.026,29.0,2016-05-20,2016-04-21,0.0,50etf_1609_c_2.25,1.0,0.0,10000.0,0.0848,34768.0,-24117.085600000002,41.0
43,0.1138,29.0,2016-05-20,2016-04-21,0.0,50etf_1609_c_2.0,1.0,0.0,10000.0,0.199,33830.0,-14494.635199999999,17.0
44,0.1432,29.0,2016-05-20,2016-04-21,0.0,50etf_1609_c_1.95,1.0,0.0,10000.0,0.2274,34110.0,-12641.118000000004,15.0
45,0.0009,29.0,2016-05-20,2016-04-21,0.0,50etf_1605_c_2.15,-1.0,109977.60000000011,10000.0,0.0551,35264.0,34680.832,64.0
46,0.0002,29.0,2016-05-20,2016-04-21,0.0,50etf_1605_c_2.2,-1.0,149597.20000000004,10000.0,0.0344,35432.0,35218.8724,103.0
47,0.0002,29.0,2016-05-20,2016-04-21,0.0,50etf_1605_c_2.25,-1.0,254170.00000000006,10000.0,0.0203,35525.0,35167.825,175.0
48,0.0052,29.0,2016-05-20,2016-04-21,0.0,50etf_1605_c_2.1,-1.0,99105.59999999998,10000.0,0.0805,35420.0,33124.458399999996,44.0
49,0.0001,29.0,2016-05-20,2016-04-21,0.0,50etf_1605_c_2.3,-1.0,455739.60000000003,10000.0,0.0113,35481.99999999999,35160.84079999999,314.0
50,0.1219,32.0,2016-06-21,2016-05-20,0.0,50etf_1609_c_2.0,1.0,0.0,10000.0,0.1138,39830.0,2818.501,35.0
51,0.1963,32.0,2016-06-21,2016-05-20,0.0,50etf_1609_c_1.9,1.0,0.0,10000.0,0.1767,38874.0,4295.588,22.0
52,0.0495,32.0,2016-06-21,2016-05-20,0.0,50etf_1612_c_2.202_A,1.0,0.0,10220.0,0.0475,40292.35,1680.063756000004,83.0
53,0.0754,32.0,2016-06-21,2016-05-20,0.0,50etf_1612_c_2.104_A,1.0,0.0,10220.0,0.071,39909.1,2456.781711999998,55.0
54,0.0619,32.0,2016-06-21,2016-05-20,0.0,50etf_1612_c_2.153_A,1.0,0.0,10220.0,0.059,40399.659999999996,1969.1889867999992,67.0
55,0.0144,32.0,2016-06-21,2016-05-20,0.0,50etf_1606_c_2.1,-1.0,446951.99999999994,10000.0,0.0245,40425.00000000001,16652.163000000008,165.0
56,0.06,32.0,2016-06-21,2016-05-20,0.0,50etf_1606_c_2.05,-1.0,266851.19999999995,10000.0,0.048,40320.0,-10098.144,84.0
57,0.11,32.0,2016-06-21,2016-05-20,0.0,50etf_1606_c_2.0,-1.0,176486.4,10000.0,0.0834,40032.0,-12786.5664,48.0
58,0.0001,32.0,2016-06-21,2016-05-20,0.0,50etf_1606_c_2.2,-1.0,1133189.999999998,10000.0,0.006,40500.0,39816.765,675.0
59,0.1607,32.0,2016-06-21,2016-05-20,0.0,50etf_1606_c_1.95,-1.0,133657.59999999998,10000.0,0.1253,40096.0,-11346.304,32.0
60,0.3183,28.0,2016-07-19,2016-06-21,0.0,50etf_1609_c_1.9,1.0,0.0,10000.0,0.1963,37297.0,23160.44520000001,19.0
61,0.0948,28.0,2016-07-19,2016-06-21,0.0,50etf_1612_c_2.202_A,1.0,0.0,10220.0,0.0495,37941.75,34700.32881,75.0
62,0.14,28.0,2016-07-19,2016-06-21,0.0,50etf_1612_c_2.104_A,1.0,0.0,10220.0,0.0754,37758.812,32328.8143976,49.0
63,0.1161,28.0,2016-07-19,2016-06-21,0.0,50etf_1612_c_2.153_A,1.0,0.0,10220.0,0.0619,37957.08,33213.610079999984,60.0
64,0.1691,28.0,2016-07-19,2016-06-21,0.0,50etf_1612_c_2.055_A,1.0,0.0,10220.0,0.093,38018.399999999994,31088.25070400001,40.0
65,0.1162,28.0,2016-07-19,2016-06-21,0.0,50etf_1607_c_2.1,-1.0,356904.00000000006,10000.0,0.0419,37710.0,-66898.458,90.0
66,0.0685,28.0,2016-07-19,2016-06-21,0.0,50etf_1607_c_2.15,-1.0,581594.2000000001,10000.0,0.0227,37909.0,-76516.4608,167.0
67,0.0277,28.0,2016-07-19,2016-06-21,0.0,50etf_1607_c_2.2,-1.0,1029737.2000000001,10000.0,0.0113,38080.99999999999,-55294.28600000001,337.0
68,0.1663,28.0,2016-07-19,2016-06-21,0.0,50etf_1607_c_2.05,-1.0,236676.80000000002,10000.0,0.071,37629.99999999999,-50534.15380000001,53.0
69,0.0078,28.0,2016-07-19,2016-06-21,0.0,50etf_1607_c_2.25,-1.0,1631061.0000000016,10000.0,0.006,38100.0,-11447.525999999994,635.0
